threshold,detection probability,false detection probability
0.0,1.0,0.00099951171875
0.1,1.0,0.0009228515625
0.2,1.0,0.00085595703125
0.30000000000000004,1.0,0.00079345703125
0.4,1.0,0.0007314453125
0.5,1.0,0.00064892578125
0.6000000000000001,1.0,0.000591796875
0.7000000000000001,1.0,0.00053076171875
0.8,1.0,0.0004599609375
0.9,1.0,0.00040869140625
1.0,1.0,0.0003671875
1.1,1.0,0.00031640625
1.2000000000000002,0.0,0.00028271484375
1.3,0.0,0.00025
1.4000000000000001,0.0,0.00021728515625
1.5,0.0,0.00018994140625
1.6,0.0,0.0001669921875
1.7000000000000002,0.0,0.0001484375
1.8,0.0,0.00012890625
1.9000000000000001,0.0,0.000107421875
2.0,0.0,8.935546875e-05
