dataset_number, false_detects, correct_detects, undetected_objects
0,13446386,15343,2555
0,12197437,15417,3045
0,10608872,14869,3472
0,9244011,14388,3950
0,8059636,13971,4449
0,7070495,13645,5045
0,6100199,13073,5642
0,4961179,11788,5951
0,4220436,11123,6509
0,3628869,10636,7143
0,3079164,10001,7734
0,2657000,9521,8521
0,2234487,8841,9091
0,1889245,8242,9715
0,1590334,7681,10260
0,1331871,7098,10768
0,1131511,6586,11472
0,942499,6070,11878
0,778597,5484,12219
0,681999,5194,13326
0,582903,4859,14096
0,489770,4438,14625
0,409193,4004,15086
0,336410,3574,15248
0,282833,3260,15734
0,232380,2896,15817
0,196897,2612,16411
0,163940,2314,16668
0,135883,2056,16855
0,113286,1838,17099
0,94485,1629,17355
0,78667,1454,17523
0,65345,1286,17619
0,55071,1136,17973
0,45969,1009,18052
0,38309,891,18149
0,31877,789,18183
0,26417,698,18150
0,22338,623,18417
0,18837,548,18587
0,15652,467,18527
0,13159,420,18609
0,11013,371,18654
0,9247,321,18816
0,7765,281,18813
0,6504,243,18786
0,5480,207,18807
0,4561,191,18803
0,3870,167,18859
0,3250,142,18880
0,2760,130,18905
0,2284,114,18826
0,1914,96,18980
0,1620,84,18928
0,1383,71,19108
0,1159,66,18985
0,975,59,18888
0,842,58,19142
0,697,52,18987
0,590,45,18910
0,509,38,18837
0,443,33,19026
0,387,33,19025
0,329,29,19110
0,280,26,19039
0,237,23,19030
0,207,20,19073
0,175,18,19031
0,150,17,18850
0,124,15,18921
0,114,14,18928
0,97,14,18948
0,87,14,19103
0,78,13,19064
0,69,10,18944
0,58,8,19099
0,54,7,18945
0,43,7,19074
0,36,7,19055
0,31,5,19050
0,25,5,19059
0,24,5,18959
0,21,5,18978
0,17,5,18834
0,16,5,19087
0,15,3,19089
0,13,3,19052
0,12,2,19113
0,10,2,18956
0,9,2,18905
0,8,2,19049
