tf, Pd, Pfa
0, 2, 0.999511
0.2, 1, 0.646282
0.4, 1, 0.52107
0.6, 1, 0.434191
0.8, 1, 0.368818
1, 1, 0.31681
1.2, 1, 0.274592
1.4, 1, 0.239297
1.6, 1, 0.209345
1.8, 1, 0.184191
2, 1, 0.162335
2.2, 1, 0.143498
2.4, 1, 0.127093
2.6, 1, 0.113048
2.8, 1, 0.100943
3, 1, 0.0898779
3.2, 1, 0.0804494
3.4, 1, 0.0724182
3.6, 1, 0.0647826
3.8, 1, 0.0581729
4, 1, 0.0527015
4.2, 1, 0.0476991
4.4, 1, 0.0430923
4.6, 1, 0.0391158
4.8, 1, 0.0352711
5, 1, 0.0316072
5.2, 1, 0.0286273
5.4, 1, 0.0259453
5.6, 1, 0.0232438
5.8, 1, 0.0208451
6, 1, 0.0189595
6.2, 1, 0.0172447
6.4, 1, 0.0157548
6.6, 1, 0.0141329
6.8, 1, 0.0129116
7, 1, 0.0118955
7.2, 1, 0.0108012
7.4, 1, 0.0099023
7.6, 1, 0.00900831
7.8, 1, 0.00821202
8, 1, 0.00744016
8.2, 1, 0.00679043
8.4, 1, 0.00626771
8.6, 1, 0.00575965
8.8, 1, 0.00530532
9, 1, 0.00488031
9.2, 1, 0.00453835
9.4, 1, 0.00412311
9.6, 1, 0.00383
9.8, 1, 0.0034978
10, 1, 0.00325354
10.2, 1, 0.00297509
10.4, 1, 0.00276014
10.6, 1, 0.00259893
10.8, 1, 0.00242306
11, 1, 0.00222765
11.2, 1, 0.00207621
11.4, 1, 0.00186615
11.6, 1, 0.00174402
11.8, 1, 0.00156815
12, 1, 0.00144602
12.2, 1, 0.00135808
12.4, 1, 0.00127015
12.6, 1, 0.00115779
12.8, 1, 0.00108451
13, 1, 0.00098681
13.2, 1, 0.000923302
13.4, 1, 0.00087445
13.6, 1, 0.000810943
13.8, 1, 0.00075232
14, 1, 0.000698583
14.2, 1, 0.000664387
14.4, 1, 0.000591109
14.6, 1, 0.000537372
14.8, 1, 0.00049829
15, 1, 0.000473864
15.2, 1, 0.000434783
15.4, 1, 0.000420127
15.6, 1, 0.000390816
15.8, 1, 0.000361505
16, 1, 0.000356619
16.2, 1, 0.000332193
16.4, 1, 0.000317538
16.6, 1, 0.000283341
16.8, 1, 0.000273571
17, 1, 0.000229604
17.2, 1, 0.000214949
17.4, 1, 0.000210064
17.6, 1, 0.000195408
17.8, 1, 0.000185638
18, 1, 0.000166097
18.2, 1, 0.000151441
18.4, 1, 0.000141671
18.6, 1, 0.000127015
18.8, 1, 0.000117245
19, 1, 0.00011236
19.2, 1, 0.000107474
19.4, 1, 0.000102589
19.6, 1, 9.28188e-05
19.8, 1, 8.79336e-05
20, 1, 8.30484e-05
20.2, 1, 8.30484e-05
20.4, 1, 7.81632e-05
20.6, 1, 6.35076e-05
20.8, 1, 5.37372e-05
21, 1, 5.37372e-05
21.2, 1, 4.8852e-05
21.4, 1, 3.90816e-05
21.6, 1, 2.93112e-05
21.8, 1, 2.4426e-05
22, 1, 2.4426e-05
22.2, 1, 2.4426e-05
22.4, 1, 1.95408e-05
22.6, 1, 1.95408e-05
22.8, 1, 1.95408e-05
23, 1, 1.95408e-05
23.2, 1, 1.95408e-05
23.4, 1, 1.95408e-05
23.6, 1, 1.95408e-05
23.8, 1, 1.95408e-05
24, 1, 1.95408e-05
24.2, 1, 1.46556e-05
24.4, 1, 1.46556e-05
24.6, 1, 1.46556e-05
24.8, 1, 1.46556e-05
25, 1, 1.46556e-05
25.2, 1, 1.46556e-05
25.4, 1, 1.46556e-05
25.6, 1, 9.7704e-06
25.8, 1, 9.7704e-06
26, 1, 9.7704e-06
26.2, 1, 9.7704e-06
26.4, 1, 9.7704e-06
26.6, 1, 9.7704e-06
26.8, 1, 9.7704e-06
27, 1, 9.7704e-06
27.2, 1, 9.7704e-06
27.4, 1, 9.7704e-06
27.6, 1, 9.7704e-06
27.8, 1, 9.7704e-06
28, 1, 9.7704e-06
28.2, 1, 9.7704e-06
28.4, 1, 9.7704e-06
28.6, 1, 9.7704e-06
28.8, 1, 9.7704e-06
29, 1, 4.8852e-06
29.2, 1, 4.8852e-06
29.4, 1, 4.8852e-06
29.6, 1, 4.8852e-06
29.8, 1, 4.8852e-06
