tf, Pd, Pfa
0, 2, 0.999511
0.2, 1, 0.618779
0.4, 1, 0.4866
0.6, 1, 0.397352
0.8, 1, 0.330787
1, 1, 0.278881
1.2, 1, 0.237127
1.4, 1, 0.203434
1.6, 1, 0.175061
1.8, 1, 0.151138
2, 1, 0.131319
2.2, 1, 0.114392
2.4, 1, 0.0999414
2.6, 1, 0.0877186
2.8, 1, 0.0773864
3, 1, 0.0684709
3.2, 1, 0.0605081
3.4, 1, 0.0534734
3.6, 1, 0.0477137
3.8, 1, 0.0424963
4, 1, 0.0376991
4.2, 1, 0.0333708
4.4, 1, 0.029531
4.6, 1, 0.0262335
4.8, 1, 0.0234294
5, 1, 0.0209135
5.2, 1, 0.0186224
5.4, 1, 0.0167269
5.6, 1, 0.0149194
5.8, 1, 0.0132487
6, 1, 0.0117
6.2, 1, 0.0106351
6.4, 1, 0.00969712
6.6, 1, 0.00876893
6.8, 1, 0.00800684
7, 1, 0.00723498
7.2, 1, 0.00644358
7.4, 1, 0.00592086
7.6, 1, 0.0052809
7.8, 1, 0.00471422
8, 1, 0.00434294
8.2, 1, 0.00393258
8.4, 1, 0.00360528
8.6, 1, 0.00336102
8.8, 1, 0.00309233
9, 1, 0.00284319
9.2, 1, 0.00255984
9.4, 1, 0.00230093
9.6, 1, 0.00211041
9.8, 1, 0.00192477
10, 1, 0.00173913
10.2, 1, 0.00159257
10.4, 1, 0.0014509
10.6, 1, 0.00133366
10.8, 1, 0.00121641
11, 1, 0.00110405
11.2, 1, 0.00101612
11.4, 1, 0.000952614
11.6, 1, 0.000869565
11.8, 1, 0.000762091
12, 1, 0.000727894
12.2, 1, 0.000664387
12.4, 1, 0.000615535
12.6, 1, 0.000566683
12.8, 1, 0.000532487
13, 1, 0.000503175
13.2, 1, 0.000483635
13.4, 1, 0.000439668
13.6, 1, 0.000415242
13.8, 1, 0.000381045
14, 1, 0.000346849
14.2, 1, 0.000317538
14.4, 1, 0.000302882
14.6, 1, 0.000263801
14.8, 1, 0.000219834
15, 1, 0.000214949
15.2, 1, 0.000200293
15.4, 1, 0.000190523
15.6, 1, 0.000180752
15.8, 1, 0.000141671
16, 1, 0.000141671
16.2, 1, 0.000127015
16.4, 1, 0.00012213
16.6, 1, 0.000107474
16.8, 1, 9.7704e-05
17, 1, 8.79336e-05
17.2, 1, 8.79336e-05
17.4, 1, 8.79336e-05
17.6, 1, 7.81632e-05
17.8, 1, 7.3278e-05
18, 1, 6.35076e-05
18.2, 1, 4.8852e-05
18.4, 1, 3.90816e-05
18.6, 1, 3.90816e-05
18.8, 1, 3.41964e-05
19, 1, 3.41964e-05
19.2, 1, 3.41964e-05
19.4, 1, 3.41964e-05
19.6, 1, 3.41964e-05
19.8, 1, 3.41964e-05
20, 1, 3.41964e-05
20.2, 1, 3.41964e-05
20.4, 1, 3.41964e-05
20.6, 1, 2.93112e-05
20.8, 1, 2.4426e-05
21, 1, 1.95408e-05
21.2, 1, 1.95408e-05
21.4, 1, 1.46556e-05
21.6, 1, 1.46556e-05
21.8, 1, 1.46556e-05
22, 1, 1.46556e-05
22.2, 1, 1.46556e-05
22.4, 1, 9.7704e-06
22.6, 1, 9.7704e-06
22.8, 1, 9.7704e-06
23, 1, 9.7704e-06
23.2, 1, 4.8852e-06
23.4, 1, 4.8852e-06
23.6, 1, 4.8852e-06
23.8, 1, 4.8852e-06
24, 1, 4.8852e-06
24.2, 1, 4.8852e-06
24.4, 1, 4.8852e-06
24.6, 1, 4.8852e-06
24.8, 1, 4.8852e-06
25, 1, 4.8852e-06
25.2, 1, 4.8852e-06
25.4, 1, 4.8852e-06
25.6, 1, 4.8852e-06
25.8, 1, 4.8852e-06
26, 1, 4.8852e-06
26.2, 1, 4.8852e-06
26.4, 1, 4.8852e-06
26.6, 1, 4.8852e-06
26.8, 1, 4.8852e-06
27, 1, 4.8852e-06
27.2, 1, 0
27.4, 1, 0
27.6, 1, 0
27.8, 1, 0
28, 1, 0
28.2, 1, 0
28.4, 1, 0
28.6, 1, 0
28.8, 1, 0
29, 1, 0
29.2, 1, 0
29.4, 1, 0
29.6, 1, 0
29.8, 1, 0
